PG.ProteinAccessions,GeneID,P10_01,P10_02,P10_03,P10_07,P10_08,P10_21,P10_22,P10_23,P10_24,P10_25,P10_26,P10_27,P10_28,P11_39,P11_01,P11_02,P11_03,P11_04,P11_05,P11_06,P11_07,P11_08,P11_09,P11_10,P11_11,P11_12,P11_13,P11_14,P11_15,P11_16,P11_17,P11_18,P11_19,P11_20,P11_21,P11_22,P11_23,P11_24,P11_25,P11_26,P11_27,P11_28,P11_29,P11_30,P11_31,P11_32
P46940,IQGAP1,95.4180069,57.23340607,87.76082611,64.80294037,47.70607758,112.6451035,190.3320007,85.53494263,132.8036041,44.82509995,110.8906631,119.9388046,126.6164856,86.17926788,77.42679596,41.97808456,80.93306732,66.92933655,74.47942352,46.12992096,99.90615082,44.20788574,136.9424896,53.99158478,60.24895859,58.75107956,65.78509521,56.4949379,70.11817169,52.43799591,51.39722824,28.29643059,38.65426254,46.82290268,61.38087463,72.44056702,120.7949753,86.68945313,54.9483757,53.01828384,60.1210022,31.18601799,66.99438477,109.5204849,400.5385437,77.64402008
P46976,GYG1,952.1088257,697.2763672,734.3503418,148.1576691,305.5684204,285.6726074,463.9555664,183.3366394,375.6761475,120.2156143,220.7650757,344.0034485,348.3821411,14.23069572,51.56934738,36.73551941,103.5286026,25.44422722,152.3569946,38.93268585,103.5001678,41.07151031,213.0627747,83.22190094,70.95871735,55.16027832,160.3599091,89.0697937,113.5962524,60.4387207,28.59064102,42.81212616,55.98336792,61.39881516,75.49314117,58.0141983,147.1620026,88.76785278,58.90029144,21.57808876,68.47242737,29.44589424,121.0820084,311.5047913,541.118103,78.6631012
P46977,STT3A,113.0751877,78.48327637,75.78846741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,138.6835785,121.6444931,74.55929565,381.9572144,92.26861572,219.601059,49.9865303,172.6499176,113.2280502,164.8009949,160.998291,59.93469238,98.09988403,184.1647491,62.08319855,88.88237762,65.62335205,131.3564606,100.4189606,NaN,114.4309235,147.3656006,206.6342316,95.40693665,109.9182587,76.68041992,73.58023071,83.84513092,49.90802383,65.92617798,157.215744,249.6140137,210.8047333
P47712,PLA2G4A,103.5506821,85.10402679,74.93493652,15.83791351,93.8575058,48.32808304,46.41169739,34.38468933,26.45826149,59.20823288,43.27616501,23.80029488,21.39980125,91.31134033,21.74892998,19.72721481,64.92342377,24.87014198,59.65264893,16.18018913,41.06971741,20.76319504,43.79278183,13.06340122,NaN,10.01640892,22.81068993,18.87157249,38.50476837,5.29109478,26.63877869,NaN,NaN,12.04320145,27.8546772,58.71908569,41.87630081,22.37978935,16.3919754,24.7374115,22.74466133,20.49028015,10.37175083,30.81851006,77.45517731,31.6317215
P47755,CAPZA2,121.6757584,188.2283325,226.0997467,73.40458679,66.08165741,35.27820206,23.75498962,30.64953232,48.47302628,23.41330719,18.64380646,42.83931351,41.99456406,25.45508575,19.38339424,22.95124435,45.35827255,23.50772858,46.01966476,13.71177959,50.12096405,22.07575417,46.26334,22.10969162,23.64252281,15.16761971,57.0111084,26.5947361,19.19650841,6.401751995,21.83875465,10.03459835,8.997423172,31.72101784,13.63704491,32.26539612,22.67502594,18.25601578,25.97816849,10.47194195,7.540707111,13.05683804,14.06869888,34.95851135,95.69290161,40.56697464
P47756,CAPZB,226.7003326,279.4625244,329.4718018,83.46589661,95.6135025,55.6055603,77.85564423,43.51355362,89.90803528,30.3361721,39.05757141,86.00816345,54.93714523,44.70314026,51.49662018,44.20152664,102.9970703,35.27574539,76.75061035,29.81299591,64.54489899,46.1033783,94.52150726,40.42103958,55.57915497,53.23247528,84.1155777,30.3367691,60.69455719,21.40886116,30.30424118,13.37530613,17.57670784,38.57706451,44.08090591,70.51106262,63.17139816,42.31490326,34.89424515,22.70122337,29.83113861,21.92187119,26.23126602,113.5641403,236.2729492,113.8999634
P47813,EIF1AX,70.9000473,80.29315186,112.6993027,NaN,54.9654541,47.64376068,171.0139923,NaN,NaN,NaN,48.83623505,NaN,33.64232254,NaN,NaN,25.04743195,34.34534836,NaN,32.97030258,43.92488861,NaN,21.82334518,38.09790039,NaN,26.33942413,40.81785202,NaN,NaN,NaN,26.57107353,NaN,NaN,NaN,58.76029205,NaN,NaN,NaN,NaN,64.56269073,NaN,NaN,NaN,NaN,26.96360016,30.55045509,NaN
P47897,QARS1,31.72879219,16.97820091,20.31003571,15.19377708,17.08010101,19.57147408,13.85879612,2.548778534,9.01730442,NaN,NaN,30.91108131,12.69258213,NaN,13.57226849,10.09211349,13.38567257,5.893597603,9.838599205,NaN,10.90219975,9.048377037,10.95793152,10.21504974,NaN,6.240285873,14.56629848,7.676031113,14.63571167,NaN,5.441697598,NaN,NaN,14.7600174,11.77812767,19.58392525,2.339392662,14.55664921,6.848137379,NaN,16.00504494,NaN,5.482911587,6.445035934,21.44579506,7.456140041
P47914,RPL29,109.6417389,47.6947403,56.14215088,58.63874435,57.7966156,127.8377151,433.5196228,83.49504852,160.0531921,45.16213608,80.03221893,142.1403046,101.9960785,24.78448486,117.2225571,27.22854805,19.30202484,32.17160034,80.1620636,41.5386467,71.19642639,38.45243835,117.7662277,46.77184677,37.27430725,14.39538956,70.13647461,53.86867523,32.39704132,27.18538094,7.090736866,14.97146034,27.79402542,21.3754425,28.70665169,23.86555862,53.29466629,61.81060028,48.14595032,6.015800476,6.870047092,15.5032959,31.12028313,47.01283646,165.4955597,51.01501465
P47929,LGALS7B,39.266819,11.70242882,4.469288826,14.00376987,14.42520332,NaN,22.27173424,NaN,9.34045887,13.61489105,17.26912308,8.315529823,10.68690109,28.77266121,8.707512856,6.606815815,17.93124008,5.02118206,5.554316521,21.67796135,6.278065681,15.08920383,27.28713036,15.49172115,33.65009689,21.47939873,6.61117363,18.01656914,10.22041512,23.28701401,22.22447968,17.47631264,10.07939243,3.193202734,11.44820023,16.46262932,17.21122742,22.52402115,11.28360271,10.27699947,72.88996887,16.13485336,13.08192348,13.7753973,3.420218229,6.361305714
